Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct,Unit_Price,Country_Risk_Raw,Strategic_Vulnerability_Score,Anomaly_Flag,HHI_Risk_Score
2024-2025,Copper,26030000,Import,SOUTH AFRICA,0.0,1.0,,0.0,6.0,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,TANZANIA REP,274.5,32818151.0,7.132834424695977,8.364273782517485e-06,6.5,4.636342376052385,1,2128.5687245437975
2024-2025,Copper,26030000,Import,U S A,43.25,5093651.0,1.1238436752936285,8.490962572818594e-06,3.8,0.4270605966115788,1,2128.5687245437975
2024-2025,Copper,26030000,Import,ZAMBIA,0.0,90.0,0.0,0.0,6.8,0.0,1,2128.5687245437975
2018-2019,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,13407.0,0.0328947368421052,7.458790184232118e-07,1.6,0.0052631578947368324,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.02,16000.0,0.0657894736842105,1.25e-06,5.5,0.03618421052631578,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,18000.0,0.0,0.0,5.5,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.03,2340.0,0.0986842105263157,1.282051282051282e-05,5.5,0.05427631578947363,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.0,20000.0,0.0,0.0,5.5,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.0,1.0,,0.0,5.7,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.0,10.0,0.0,0.0,1.5,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,18.83,13389116.0,61.94078947368421,1.4063661857885164e-06,5.3,32.82861842105263,-1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.0,1.0,,0.0,5.5,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,EGYPT A RP,0.0,15.0,0.0,0.0,5.5,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,FRANCE,0.56,70604.0,1.842105263157895,7.93156195116424e-06,2.3,0.42368421052631583,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,GERMANY,1.35,365881.0,4.440789473684212,3.6897242546073727e-06,2.1,0.9325657894736846,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.1,142023.0,0.3289473684210526,7.041113059152391e-07,3.5,0.1151315789473684,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,0.01,25000.0,0.0328947368421052,4e-07,5.4,0.017763157894736807,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.09,20346.0,0.2960526315789474,4.4234739015039805e-06,3.6,0.10657894736842106,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.91,406795.0,9.572368421052632,7.153480254182082e-06,2.0,1.9144736842105263,-1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.08,6997.0,0.2631578947368421,1.1433471487780478e-05,2.8,0.07368421052631578,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.94,1634022.0,3.0921052631578947,5.752676524551076e-07,4.5,1.3914473684210527,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,249.0,0.0,0.0,5.8,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.07,12930.0,0.2302631578947368,5.413766434648105e-06,5.5,0.12664473684210525,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.39,2846000.0,7.861842105263158,8.397751229796206e-07,1.1,0.8648026315789474,1,5703.2022386890185
