Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.56,77332.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.11,124408.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.29,797020.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,U K,0.31,359936.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,U S A,2.95,142601.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,27991.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.26,155700.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.03,53000.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.09,15381.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.05,250720.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,,
2024-2025,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.01,1802.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,43.82,61004759.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,DENMARK,,
2024-2025,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.01,197962.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,GERMANY,2.48,862276.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.22,304346.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.5,118432.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,JAPAN,4.18,563916.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.49,52839.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.56,1195917.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.5,139228.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,NORWAY,0.16,143809.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.04,81920.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.59,184588.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,SOUTH AFRICA,0.91,1200000.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,63.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.43,107163.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.01,3218.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.12,20140061.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,THAILAND,0.23,32105.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,TURKEY,0.02,3154.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.05,217200.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,U K,0.14,159043.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,U S A,1.23,92767.0
2024-2025,Graphite-ArtificialGraphite,38011000,Import,VIETNAM SOC REP,0.32,44521.0
