Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2019-2020,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.0,200.0,0.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,THAILAND,,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,U K,0.04,10857.0,0.15704750687082844
2019-2020,Graphite-ArtificialGraphite,38011000,Import,U S A,1.39,514171.0,5.457400863761288
2020-2021,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,14000.0,0.04022526146419952
2020-2021,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,13000.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.28,53478.0,1.1263073209975867
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,CANADA,,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,15.36,20891592.0,61.786001609010455
2020-2021,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.02,10300.0,0.08045052292839903
2020-2021,Graphite-ArtificialGraphite,38011000,Import,FRANCE,0.63,100029.0,2.5341914722445695
2020-2021,Graphite-ArtificialGraphite,38011000,Import,GERMANY,0.82,287979.0,3.29847144006436
2020-2021,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.23,310080.0,0.925181013676589
2020-2021,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.18,54015.0,0.7240547063555913
2020-2021,Graphite-ArtificialGraphite,38011000,Import,JAPAN,1.81,249451.0,7.280772325020113
2020-2021,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.22,18246.0,0.8849557522123894
2020-2021,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.25,696000.0,1.005631536604988
2020-2021,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,227.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.01,602.0,0.04022526146419952
2020-2021,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.51,3368000.0,10.096540627514077
2020-2021,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.0,5.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.0,2.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,120.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.26,77522.0,1.0458567980691875
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.46,78923.0,1.850362027353178
2020-2021,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.03,5130.0,0.12067578439259855
2020-2021,Graphite-ArtificialGraphite,38011000,Import,THAILAND,0.0,1.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.0,145.0,0.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,U K,0.12,115379.0,0.4827031375703942
2020-2021,Graphite-ArtificialGraphite,38011000,Import,U S A,1.66,497985.0,6.677393403057119
2021-2022,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,13905.0,0.02304147465437788
2021-2022,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.0,68.0,0.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,12000.0,0.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,1.03,799341.0,2.3732718894009217
2021-2022,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.08,78720.0,0.18433179723502305
2021-2022,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.03,1546.0,0.06912442396313365
2021-2022,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,29.58,24648478.0,68.15668202764978
2021-2022,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.05,28000.0,0.1152073732718894
2021-2022,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.27,261399.0,2.926267281105991
2021-2022,Graphite-ArtificialGraphite,38011000,Import,GERMANY,1.72,730335.0,3.963133640552995
2021-2022,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.19,190996.0,0.4377880184331797
2021-2022,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.33,82185.0,0.7603686635944701
2021-2022,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.22,531919.0,5.11520737327189
2021-2022,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.46,37810.0,1.0599078341013826
2021-2022,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.75,1596839.0,1.7281105990783412
2021-2022,Graphite-ArtificialGraphite,38011000,Import,MEXICO,,,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.1,14724.0,0.2304147465437788
2021-2022,Graphite-ArtificialGraphite,38011000,Import,NORWAY,0.82,1479742.0,1.889400921658986
2021-2022,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.02,97890.0,0.04608294930875576
2021-2022,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.2,96992.0,0.4608294930875576
2021-2022,Graphite-ArtificialGraphite,38011000,Import,RUSSIA,0.03,24250.0,0.06912442396313365
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SAUDI ARAB,0.01,19330.0,0.02304147465437788
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.05,40265.0,0.1152073732718894
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SOUTH AFRICA,0.54,638800.0,1.2442396313364057
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,15.0,0.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.58,164019.0,1.3364055299539168
